Call,Date,Topic,Type,TranscriptPath,ChatPath,SummaryPath,Notes
01,2025-07-31,OGM Call,Hybrid,"2025-07-31 OGM Call/GMT20250731-150124_Recording.transcript.vtt","2025-07-31 OGM Call/GMT20250731-150124_RecordingnewChat.txt","2025-07-31 OGM Call/2025-07-31 OGM Call AI Summary.pdf",First call in series
02,2025-08-07,OGM Check-in Call,Check-in,"2025-08-07 OGM Check-in Call/GMT20250807-150230_Recording.transcript.vtt","2025-08-07 OGM Check-in Call/GMT20250807-150230_RecordingnewChat.txt","2025-08-07 OGM Check-in Call/2025-08-07 OGM Check-in Call AI Summary.pdf",Check-in focused
03,2025-08-14,OGM Call,Hybrid,"2025-08-14 OGM Call/GMT20250814-150211_Recording.transcript.vtt","2025-08-14 OGM Call/GMT20250814-150211_RecordingnewChat.txt","2025-08-14 OGM Call/2025-08-14 OGM Call AI Summary.pdf",
04,2025-08-21,OGM Call,Hybrid,"2025-08-21 OGM Call/GMT20250821-150147_Recording.transcript.vtt","2025-08-21 OGM Call/GMT20250821-150147_RecordingnewChat.txt","2025-08-21 OGM Call/2025-08-21 OGM Call AI Summary.pdf",
05,2025-08-28,OGM Call,Hybrid,"2025-08-28 OGM Call/GMT20250828-150216_Recording.transcript.vtt","2025-08-28 OGM Call/GMT20250828-150216_RecordingnewChat.txt","2025-08-28 OGM Call/2025-08-28 OGM Call AI Summary.pdf",
06,2025-09-04,OGM Check-in Call,Check-in,"2025-09-04 OGM Check-in Call/GMT20250904-150342_Recording.transcript.vtt","2025-09-04 OGM Check-in Call/GMT20250904-150342_RecordingnewChat.txt","2025-09-04 OGM Check-in Call/2025-09-04 OGM Check-in Call AI Summary.pdf",Check-in focused
07,2025-09-11,On Collaboration,Topical,"2025-09-11 OGM Call: On Collaboration/GMT20250911-150349_Recording.transcript.vtt","2025-09-11 OGM Call: On Collaboration/GMT20250911-150349_RecordingnewChat.txt","2025-09-11 OGM Call: On Collaboration/2025-09-11 OGM Call AI Summary.pdf",Topical: Collaboration
08,2025-09-26,Abundance,Topical,"2025-09-26 OGM Call Abundance/GMT20250926-150355_Recording.transcript.vtt","2025-09-26 OGM Call Abundance/GMT20250926-150355_RecordingnewChat.txt","2025-09-26 OGM Call Abundance/2025-09-26 OGM Call Abundance AI Summary.pdf",Topical: Abundance
09,2025-10-02,OGM Call,Hybrid,"2025-10-02 OGM Call/GMT20251002-150212_Recording.transcript.vtt","2025-10-02 OGM Call/GMT20251002-150212_RecordingnewChat.txt","2025-10-02 OGM Call/2025-10-02 OGM Call AI Summary.pdf",
10,2025-10-09,OGM Call,Hybrid,"2025-10-09 OGM Call/GMT20251009-150203_Recording.transcript.vtt","2025-10-09 OGM Call/GMT20251009-150203_RecordingnewChat.txt","2025-10-09 OGM Call/2025-10-09 OGM Call AI Summary.pdf",
11,2025-10-16,OGM Call,Hybrid,"2025-10-16 OGM Call/GMT20251016-150216_Recording.transcript.vtt","2025-10-16 OGM Call/GMT20251016-150216_RecordingnewChat.txt","2025-10-16 OGM Call/2025-10-16 OGM Call AI Summary.pdf",
12,2025-10-23,OGM Call,Hybrid,"2025-10-23 OGM Call/GMT20251023-150234_Recording.transcript.vtt","2025-10-23 OGM Call/GMT20251023-150234_RecordingnewChat.txt","2025-10-23 OGM Call/2025-10-23 OGM Call AI Summary.pdf",
13,2025-10-30,Crony Capitalism,Topical,"2025-10-30 OGM Call on Crony Capitalism/GMT20251030-150230_Recording.transcript.vtt","2025-10-30 OGM Call on Crony Capitalism/GMT20251030-150230_RecordingnewChat.txt","2025-10-30 OGM Call on Crony Capitalism/2025-10-30 OGM Call on Crony Capitalism AI Summary.pdf",Topical: Crony Capitalism
14,2025-11-06,OGM Check-in Call,Check-in,"2025-11-06 OGM Check-in Call/GMT20251106-160226_Recording.transcript.vtt","2025-11-06 OGM Check-in Call/GMT20251106-160226_RecordingnewChat.txt","2025-11-06 OGM Check-in Call/2025-11-06 OGM Check-in Call AI Summary.pdf",Check-in focused
15,2025-11-13,OGM Call Part 1,Hybrid,"2025-11-13 OGM Call part 1/GMT20251113-160240_Recording.transcript.vtt","2025-11-13 OGM Call part 1/GMT20251113-160240_RecordingnewChat.txt","2025-11-13 OGM Call part 1/2025-11-13 OGM Call part 1 AI Summary.pdf",Part 1 of split call
16,2025-11-13,OGM Call Part 2,Hybrid,"2025-11-13 OGM Call part 2/GMT20251113-175719_Recording.transcript.vtt","2025-11-13 OGM Call part 2/GMT20251113-175719_RecordingnewChat.txt","2025-11-13 OGM Call part 2/2025-11-13 OGM Call part 2 AI Summary.pdf",Part 2 of split call
